,gwb_code_2017,pharmacy_distance,"Afstand in meters van een adres tot de dichtstbijzijnde huisartsenpraktijk, berekend over de weg",GP_1km,Aantal huisartsenpraktijken binnen 3 km,Aantal huisartsenpraktijken binnen 5 km,"Afstand in meters van een adres tot de dichtstbijzijnde huisartsenpost, berekend over de weg",hospital_distance,Aantal ziekenhuizen (inclusief buitenpolikliniek) binnen 5 km,Aantal ziekenhuizen (inclusief buitenpolikliniek) binnen 10 km,Aantal ziekenhuizen (inclusief buitenpolikliniek) binnen 20 km,"Afstand in meters van een adres tot het dichtstbijzijnde ziekenhuis (exclusief buitenpolikliniek), berekend over de weg",Aantal ziekenhuizen (exclusief buitenpolikliniek) binnen 5 km,Aantal ziekenhuizen (exclusief buitenpolikliniek) binnen 10 km,Aantal ziekenhuizen (exclusief buitenpolikliniek) binnen 20 km,"Afstand in meters van een adres tot de dichtstbijzijnde winkel met overige dagelijkse levensmiddelen, berekend over de weg",shops_1km,Aantal winkels met overige dagelijkse levensmiddelen dat binnen 3 km over de weg te bereiken is,Aantal winkels met overige dagelijkse levensmiddelen dat binnen 5 km over de weg te bereiken is,"Afstand in meters van een adres tot de dichtstbijzijnde grote supermarkt, berekend over de weg",supermarkets_1km,Het aantal grote supermarkten dat vanaf het adres binnen 3 km over de weg te bereiken is,Het aantal grote supermarkten dat vanaf het adres binnen 5 km over de weg te bereiken is,"Afstand in meters van een adres tot de dichtstbijzijnde school voor basisonderwijs, berekend over de weg",schools_1km,Aantal scholen voor basisonderwijs binnen 3 km,Aantal scholen voor basisonderwijs binnen 5 km,Aantal kinderdagverblijven binnen 1 km,Aantal kinderdagverblijven binnen 3 km,Aantal kinderdagverblijven binnen 5 km,"Afstand in meters van een adres tot het dichtstbijzijnde hotel, berekend over de weg",Aantal hotels dat vanaf het adres binnen 20 km over de weg te bereiken is,"Afstand in meters van een adres tot het dichtstbijzijnde restaurant, berekend over de weg",restaurants_1km,Aantal restaurants binnen 3 km over de weg te bereiken,Aantal restaurants binnen 5 km over de weg te bereiken,"Afstand in meters van een adres tot het dichtstbijzijnde caf , berekend over de weg",Aantal caf s binnen een straal van 1 km,Aantal caf s binnen een straal van 3 km,Aantal caf s binnen een straal van 5 km,"Afstand in meters van een adres tot het dichtstbijzijnde belangrijk overstapstation, berekend over de weg","Afstand in meters van een adres tot de dichtstbijzijnde oprit van een hoofdverkeersweg, berekend over de weg",distance_train_station_meters,"Afstand in meters van een adres tot de dichtstbijzijnde bibliotheek, berekend over de weg",distance_swimming_pool_meters,Aantal musea binnen 20 km,cinemas_5km,Aantal bioscopen binnen 10 km,Aantal bioscopen binnen 20 km,"Bruto inkomen huishouden, voorlopig inkomen 2017, na revisie","Netto huur, na revisie",rent_monthly,gwb_code_8,gwb_code_10,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_w_all,a_nw_all,a_marok,a_antaru,a_suri,a_tur,a_ov_nw,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,p_n_act,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,g_wodief,g_vernoo,g_gewsek,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad
2457,03630000,195.430786587167,239.430786587167,6.30830928731517,58.1223438554028,139.978350683981,2602.27002571566,1053.15363675068,2.86350973154213,9,17.2835717055879,2732.27002571566,1.86350973154213,7,13,40.1044327605384,130.423384709515,542.902707421282,978.860455176889,244.158566134729,7,68.9523953839116,142.529603513703,369.29429631871,2.20405950354846,31.9430219335816,105.522959959536,4.21035426183399,88.0047595323883,232.380539625815,35.6367199858176,466.950312037371,4.08836635324774,289.007435718236,1222.48467508346,1743.47991555107,18.088069050356,180.794405270554,557.846176579724,734.210354261834,489.354656850856,4274.87950083217,489.354656850856,907.731457599466,1975.70758496405,68,14,15,21,25377.5350810236,1130.12384184796,1227.27388240551,3630000,BU03630000,Kop Zeedijk,Amsterdam,Buurt,BU03630000,1,1035,610,420,45,100,575,250,75,800,160,70,15,340,175,5,10,25,10,130,,,,,755,525,180,45,"1,4",17048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2,1012,1,1,6718
2458,03630002,323.594672203737,174.744497260985,6,65.8237868881495,142.607928962716,2398.0045025619,857.84142074567,3,9,17.6079289627165,2528.61243152461,2,7,13,44.3934674333176,91.2846754445196,491.793529903815,980.462209776227,197.883666002301,8.43541267513145,64.8860207825501,141.026093196832,400.079289627165,2,36.0396448135825,109.823786888149,16.3577205147937,112.586853810007,240.369322183602,263.635944346833,470.870825350263,52.4361165793952,217.316474117622,1020.20570723112,1710.24585301014,76.9455803598167,118.223586524997,425.842588430426,707.244561675715,1569.09261571712,2944.87407505851,1455.44990750781,1181.14532249535,1945.44934970839,68,14,15,21,50500.6466776944,768.371435548875,968.183111102332,3630002,BU03630002,Burgwallen Oost,Amsterdam,Buurt,BU03630002,1,1570,860,710,100,230,760,330,170,1190,260,115,20,515,295,20,20,30,15,215,,,,,1105,765,240,95,"1,4",25257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,1012,1,1,7492
2459,03630003,168,166,8,70,139,2482,662,3,9,17,2612,2,7,13,53,151,599,1005,341,9,77,145,689,2,39,107,4,121,249,111,471,53,379,1355,1782,33,234,605,744,1033,4007,1033,1444,1750,68,14,15,21,17735,242.346659342448,602.406659342448,3630003,BU03630003,Nes e.o.,Amsterdam,Buurt,BU03630003,1,350,180,170,25,60,185,65,30,270,65,20,5,125,35,0,5,5,5,30,,,,,235,145,65,15,"1,5",6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,1012,1,1,9866
2460,03630004,286.122141818415,225.694587020364,6.73663676579858,68.4097371524493,141.471790017247,2357.69090255885,781.122141818415,3,9,17,2487.69090255885,2,7,13,49.0155216295148,133.339950084392,604.471790017247,1005.4910911772,430.335674683726,8.49109117719905,79.7544544114005,147.7544544114,681.978456046956,2,39.6359815810967,108.226244428647,4,119.855109596102,249.08135402475,82.4097903754447,471.508908822801,132.950818367525,374.8372919505,1362.19982685505,1782.93646362085,66.6948727050749,231.673100386651,603.754454411401,744,1138.33445457789,4125.69458702036,1138.33445457789,1472.11326300851,1746.04725547089,68.7544544114005,14,15,21,28764.1849916972,1077.10629322632,1187.38248965612,3630004,BU03630004,BG-terrein e.o.,Amsterdam,Buurt,BU03630004,1,625,345,280,40,80,275,155,80,455,130,40,15,175,100,10,5,15,5,65,,,,,435,305,85,45,"1,4",7428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,2,1012,1,1,8417
2461,03630102,753.916206531237,618.916206531237,5.91667645678219,49,131.916676456782,3270.91620653124,981.916206531237,3,9,17,3400.91620653124,2,7,13,26.9162065312369,124.166764567822,489.166764567822,948.333411654257,435.916206531237,5.91667645678219,60,137.916676456782,862.916206531237,1,29.8333529135644,96.8333529135644,1,76.7500293703466,225.583382283911,89.9162065312369,468.916676456782,0,263.000234962773,1123.00011748139,1725.91679393817,62.9162065312369,151.000117481386,530.000117481386,730,517.916206531237,4139.99953007445,517.916206531237,1309.91620653124,1643.91620653124,68,13,15,21,42623.634986373,940.081796285196,1085.04387070887,3630102,BU03630102,Nieuwendijk Noord,Amsterdam,Buurt,BU03630102,1,465,265,195,20,80,260,90,25,380,60,25,5,185,100,5,5,10,5,80,,,,,335,225,85,20,"1,4",8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,1012,1,1,7085
2462,03630103,822,99,8,52,135,3339,688,3,9,18,3469,2,7,13,47,162,531,981,484,9,62,142,367,3,34,100,5,90,235,0,472,47,340,1179,1751,206,170,547,738,621,3702,621,1447,1087,68,13,16,21,33496,835,954.7,3630103,BU03630103,Spuistraat Noord,Amsterdam,Buurt,BU03630103,1,805,430,370,45,110,440,150,70,610,150,40,10,315,125,5,5,15,10,90,,,,,560,375,140,40,"1,4",16036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,1012,1,1,9750
2463,03630104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72921,1275,1446.37,3630104,BU03630104,Nieuwe Kerk e.o.,Amsterdam,Buurt,BU03630104,1,825,470,355,60,115,475,140,45,640,150,35,10,315,140,10,5,15,10,100,,,,,550,340,165,40,"1,5",9797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,1012,1,1,9548
2464,03630105,,,,,,,,,,,,,,,46,136,635,986,286,6,71,139,,,,,6,128,245,44,471,0,288,1359,1765,0,157,609,739,1249,3724,1249,,,,,,,6526,1304,1421.47,3630105,BU03630105,Spuistraat Zuid,Amsterdam,Buurt,BU03630105,1,730,395,330,55,110,350,165,65,575,120,40,10,280,110,5,5,10,5,90,,,,,520,375,95,45,"1,4",12269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,1012,1,1,9971
2465,03630106,594.669428595837,462.925857960545,5.83471429791858,68.4173571489593,137,2700.33492932199,453.384213998913,3,9,17,2830.91757217303,2,7,13,140.810286983532,120.173571489593,613.417357148959,979.747928553122,563.970784719636,7.58264285104071,71.1652857020814,139.582642851041,1005.38421399891,0.417357148959289,42.2520714468779,105.834714297919,3.83471429791858,124,245.330571404163,244.541643961631,471,53.9712147677839,305.070214169774,1352.07849995728,1764.07849995728,108.69035808869,166.809856935384,598.582642851041,736.582642851041,1343.45442816869,3966.1940709343,1343.45442816869,1742.38421399891,1555.38421399891,68.5826428510407,13,15,21,28474.1925697302,702.977012384989,821.228798339244,3630106,BU03630106,Begijnhofbuurt,Amsterdam,Buurt,BU03630106,1,420,170,250,10,50,225,75,75,325,45,50,10,130,75,5,5,5,5,55,,,,,315,230,70,10,"1,3",6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,1012,1,1,9925
2466,03630200,744.911539183557,266.121317673863,7.91799344002889,49.9107908058684,134.647086678511,3606.58046087677,1095.12818360068,3,9,18,3736.61786283967,2,7,14,119.283891465163,129.847408107873,492.654454739516,981.136821988818,342.091212800414,7.98522176795129,54.4299805980477,141.624462947654,356.658540747484,2.78154333435576,32.9852217679513,101.082649424618,4.47296470901284,85.8660831459946,225.912411291969,130.767089460504,471.691691275577,166.487967019601,238.997775566689,1103.55474827103,1742.62070633073,101.231315330476,103.524926889709,525.712551839336,735.399073548769,803.505261761123,3530.48524504193,803.505261761123,1400.11228198164,983.224040183354,67.6392411797031,13,15.7064695076255,21,89947.5928002355,752.254160478833,1120.41328237896,3630200,BU03630200,Langestraat e.o.,Amsterdam,Buurt,BU03630200,1,1840,975,865,165,190,595,510,395,1105,550,135,55,565,155,0,10,20,10,120,,,,,1160,700,305,150,"1,6",18959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,3,1015,1,1,9622
